site,taxon,duration_total,duration_percent,mgv_order
MGV,Nonoka,64659,9.339966459,1
TLK,Nonoka,17198,4.407810934,1
TLK,Rahiaka,44012,11.28018228,2
MGV,Rahiaka,56016,8.091488596,2
MGV,Lafa,38946,5.625733985,3
TLK,Lafa,5165,1.323778548,3
TLK,Vahimberana,38342,9.826973301,4
MGV,Vahimberana,37864,5.469439521,4
MGV,Rotramena,32081,4.634087505,5
TLK,Rotramena,1162,0.297818136,5
MGV,Rotrafotsy,31750,4.586274688,6
TLK,Rotrafotsy,8131,2.083958059,6
TLK,Tavolomanitra,51456,13.1880637,7
MGV,Tavolomanitra,30643,4.426368985,7
MGV,Fandramanana,30293,4.375811626,8
MGV,Voamalambotaholahy,27533,3.97713074,9
TLK,Voamalambotaholahy,348,0.089191662,9
TLK,Tavolopina,15197,3.894958877,10
MGV,Tavolopina,26871,3.881505107,10
TLK,Amotana,13265,3.399791374,11
MGV,Amontana,22528,3.25416051,11
MGV,Sary,21462,3.10017724,12
TLK,Sary,2412,0.618190486,12
MGV,Natojabo,20504,2.961794526,13
MGV,Solaitra,17943,2.59185911,14
TLK,Solaitra,2542,0.65150921,14
MGV,Fanorafa,17450,2.520645459,15
TLK,Fanorafa,1390,0.356254053,15
TLK,Tavolomaintso,8545,2.190065382,16
MGV,Tavolomaintso,14321,2.068662671,16
TLK,Tavolo,11472,2.940249275,17
MGV,Tavolo,14210,2.052628766,17
MGV,Vandrika,12868,1.858777408,18
TLK,Vandrika,968,0.248096347,18
TLK,Fantsikahitra,8053,2.063966825,19
MGV,Fantsikahitra,11921,1.72198364,19
MGV,Faritraty,11142,1.609457404,20
TLK,Faritraty,754,0.193248601,20
TLK,Ramiavontoloho,8410,2.155465168,21
MGV,Ramiavontoloho,9481,1.369526624,21
MGV,Vahipisorona,9415,1.359992951,22
TLK,Voara,16799,4.30554808,23
MGV,Voara,8614,1.244288824,23
MGV,Vahitamboro,8534,1.232732856,24
TLK,Vahitamboro,1387,0.355485159,24
MGV,Mahanoro,8366,1.208465324,25
TLK,Mahanoro,1268,0.324985711,25
MGV,Nato,6034,0.871608865,26
TLK,Nato,422,0.108157705,26
TLK,Apana,7278,1.865335968,27
MGV,Apana,5911,0.853841565,27
MGV,Fohaninasity,5665,0.818306964,28
TLK,Fohaninasity,50,0.012814894,28
MGV,Kalamasimbarika,5493,0.793461633,29
MGV,Voatsavora,5360,0.774249837,30
TLK,Tongolahy,4281,1.097211223,31
MGV,Tongolahy,5173,0.747237763,31
MGV,Valopangady,4807,0.69436921,32
MGV,Anambahy,4640,0.670246128,33
TLK,Anambahy,877,0.22477324,33
TLK,Varongy,2464,0.631517975,34
MGV,Varongy,3864,0.558153241,34
MGV,Tambonetra,3640,0.525796531,35
MGV,Ramy,3470,0.5012401,36
TLK,Ramy,1832,0.469537716,36
MGV,Goavy,3245,0.468738941,37
TLK,Goavy,1636,0.419303331,37
MGV,Sandramy,2821,0.407492312,38
TLK,Sandramy,408,0.104569535,38
MGV,Rotrasomikana,2813,0.406336715,39
TLK,Voakiringy,1730,0.443395332,40
MGV,Voakiringy,2643,0.381780283,40
MGV,Vahiherotra,2516,0.363435185,41
TLK,Vahiherotra,38,0.009739319,41
MGV,Vahiandriambolamena,2515,0.363290735,42
MGV,Hafotrataikalalao,2447,0.353468163,43
TLK,Ukwn Vahy,2490,0.63818172,44
MGV,Ukwn Vahy,2073,0.299444014,44
MGV,Kalafana_lg,1985,0.286732449,45
MGV,Tavolomalady,1909,0.27575428,46
TLK,Tavolomalady,321,0.082271619,46
TLK,Voatakaboka,5954,1.525997575,47
MGV,Voatakaboka,1834,0.26492056,47
MGV,Tsivalandrano,1774,0.256253584,48
MGV,Solaitrafotsy,1762,0.254520189,49
MGV,Fatora,1706,0.246431012,50
TLK,Fatora,68,0.017428256,50
MGV,Rojabo,1493,0.215663248,51
MGV,Tomenjy,1389,0.20064049,52
MGV,Mahanororano,1275,0.184173236,53
MGV,Vahivoraka,1232,0.177961903,54
TLK,Vahivoraka,33,0.00845783,54
MGV,Manarimbita,1062,0.153405471,55
MGV,Roikina,1059,0.152972123,56
TLK,Roikina,108,0.027680171,56
MGV,Mongina,1046,0.151094278,57
TLK,Tavolomolaliambo,22286,5.711854546,58
MGV,Tavolomolaliambo,983,0.141993953,58
TLK,Vatsilana,610,0.156341707,59
MGV,Vatsilana,954,0.137804915,59
TLK,Hafitra taikalalao,1997,0.511826866,60
MGV,Hafidahy,949,0.137082667,60
MGV,Hazoharaka,919,0.132749179,61
TLK,Hazoharaka,318,0.081502726,61
MGV,Hazomamy,915,0.132171381,62
TLK,Hazomamy,159,0.040751363,62
MGV,Lanarimavo,876,0.126537847,63
MGV,Ambora,870,0.125671149,64
TLK,Ambora,242,0.062024087,64
TLK,Fantsy,2935,0.752234277,65
MGV,Fantsy,828,0.119604266,65
MGV,Hafopotsy,594,0.08580306,66
TLK,Hafopotsy,172,0.044083235,66
MGV,Hazonovy,586,0.084647464,67
MGV,Vahirano,565,0.081614022,68
TLK,Vahirano,292,0.074838981,68
MGV,Kimba,557,0.080458425,69
TLK,Rotra,28885,7.403164254,70
MGV,Rotra,516,0.074535992,70
TLK,Apaliala,775,0.198630857,71
MGV,Apaliala,442,0.063846722,71
TLK,Tsirika,1042,0.267062391,72
MGV,Tsirika,329,0.047523917,72
MGV,Mushroom,244,0.035245702,73
TLK,Mushroom,100,0.025629788,73
MGV,Tohomboalahy,212,0.030623314,74
TLK,Ramandriona,9289,2.380751004,75
MGV,Ramandriona,172,0.024845331,75
TLK,Lanarivatsilana,6837,1.752308603,76
MGV,Lanarivatsilana,138,0.019934044,76
MGV,Zahana,133,0.019211796,77
TLK,Soil,98,0.025117192,78
MGV,Soil,109,0.015745006,78
MGV,Hazomainty,97,0.014011611,79
TLK,Kalafana,589,0.150959451,80
MGV,Kalafana,65,0.009389224,80
TLK,Kalamasina,167,0.042801746,81
MGV,Kalamasina,64,0.009244774,81
TLK,Malambovony,90,0.023066809,82
MGV,Malambovony,39,0.005633534,82
MGV,Marotana,29,0.004189038,83
MGV,Vahikorofokorana,27,0.003900139,84
TLK,Valotra,11594,2.971517617,85
TLK,Lanary,2423,0.621009762,86
TLK,Akondro,1863,0.47748295,87
TLK,Kimbaletaka,1362,0.349077712,88
TLK,Hazoporetaka,1341,0.343695457,89
TLK,Dikana,1051,0.269369072,90
TLK,Sirahazo,971,0.248865241,91
TLK,Bararatalahy,801,0.205294602,92
TLK,Unknown,685,0.175564048,93
TLK,Vahiporisitra,568,0.145577196,94
TLK,Kalamasy,441,0.113027365,95
TLK,Sevamavo,418,0.107132514,96
TLK,Vahimbarongy,315,0.080733832,97
TLK,Kalafambakaka,288,0.073813789,98
TLK,Vahimavo,280,0.071763406,99
TLK,Rahonato,184,0.04715881,100
TLK,Senana,178,0.045621023,101
TLK,Marorasana,120,0.030755746,102
TLK,Voararano,85,0.02178532,103
TLK,Rogoga,42,0.010764511,104
TLK,Fanjavala,12,0.003075575,105